IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.87.73.254,8880,80,false,ORD,North America,Chicago,214,0.00
13.40.144.76,443,80,false,ORD,North America,Chicago,251,0.00
34.221.59.217,8443,80,false,ORD,North America,Chicago,227,0.00
34.219.214.215,8080,80,false,ORD,North America,Chicago,226,0.00
13.40.14.189,2087,80,false,ORD,North America,Chicago,244,0.00
34.222.138.56,2053,80,false,ORD,North America,Chicago,208,0.00
34.221.59.217,8880,80,false,ORD,North America,Chicago,227,0.00
34.221.59.217,2083,80,false,ORD,North America,Chicago,227,0.00
13.40.14.189,2053,80,false,ORD,North America,Chicago,323,0.00
34.221.59.217,2096,80,false,ORD,North America,Chicago,209,0.00
18.171.225.232,80,80,false,ORD,North America,Chicago,243,0.00
13.40.144.76,2086,80,false,ORD,North America,Chicago,320,0.00
18.171.225.232,2095,80,false,ORD,North America,Chicago,323,0.00
18.171.227.126,2095,80,false,ORD,North America,Chicago,244,0.00
35.94.182.16,80,80,false,ORD,North America,Chicago,231,0.00
34.222.138.56,2087,80,false,ORD,North America,Chicago,210,0.00
18.171.225.232,8880,80,false,ORD,North America,Chicago,252,0.00
18.171.225.232,2053,80,false,ORD,North America,Chicago,324,0.00
34.222.138.56,8080,80,false,ORD,North America,Chicago,227,0.00
18.171.225.232,2096,80,false,ORD,North America,Chicago,251,0.00
18.171.225.232,2086,80,false,ORD,North America,Chicago,243,0.00
18.171.227.126,2083,80,false,ORD,North America,Chicago,252,0.00
13.40.144.76,2083,80,false,ORD,North America,Chicago,252,0.00
13.40.14.189,2082,80,false,ORD,North America,Chicago,320,0.00
13.40.144.76,2052,80,false,ORD,North America,Chicago,244,0.00
13.40.14.189,2052,80,false,ORD,North America,Chicago,252,0.00
13.40.14.189,8080,80,false,ORD,North America,Chicago,321,0.00
13.40.144.76,2095,80,false,ORD,North America,Chicago,321,0.00
13.40.144.76,8880,80,false,ORD,North America,Chicago,252,0.00
18.171.227.126,2087,80,false,ORD,North America,Chicago,244,0.00
18.171.227.126,8443,80,false,ORD,North America,Chicago,252,0.00
13.40.144.76,8080,80,false,ORD,North America,Chicago,252,0.00
13.40.14.189,2095,80,false,ORD,North America,Chicago,323,0.00
13.40.14.189,8443,80,false,ORD,North America,Chicago,244,0.00
13.40.14.189,8880,80,false,ORD,North America,Chicago,252,0.00
18.171.227.126,8080,80,false,ORD,North America,Chicago,253,0.00
18.171.227.126,8880,80,false,ORD,North America,Chicago,253,0.00
13.40.144.76,2096,80,false,ORD,North America,Chicago,244,0.00
18.171.227.126,2086,80,false,ORD,North America,Chicago,317,0.00
13.40.14.189,2083,80,false,ORD,North America,Chicago,244,0.00
18.171.227.126,2096,80,false,ORD,North America,Chicago,323,0.00
13.40.144.76,8443,80,false,ORD,North America,Chicago,243,0.00
18.171.225.232,2083,80,false,ORD,North America,Chicago,323,0.00
13.40.144.76,2082,80,false,ORD,North America,Chicago,322,0.00
13.40.14.189,2096,80,false,ORD,North America,Chicago,252,0.00
13.40.144.76,2087,80,false,ORD,North America,Chicago,324,0.00
13.201.190.28,8880,80,false,ORD,North America,Chicago,55,0.00
34.218.208.61,2052,80,false,ORD,North America,Chicago,242,0.00
34.220.156.191,443,80,false,ORD,North America,Chicago,227,0.00
34.220.156.191,2086,80,false,ORD,North America,Chicago,226,0.00
35.92.237.227,2052,80,false,ORD,North America,Chicago,211,0.00
35.92.237.227,2053,80,false,ORD,North America,Chicago,211,0.00
3.8.89.242,2086,80,false,ORD,North America,Chicago,244,0.00
3.8.164.47,2053,80,false,ORD,North America,Chicago,244,0.00
3.8.89.242,2082,80,false,ORD,North America,Chicago,253,0.00
3.8.89.242,2053,80,false,ORD,North America,Chicago,323,0.00
3.8.89.242,8080,80,false,ORD,North America,Chicago,321,0.00
52.56.169.29,2087,80,false,ORD,North America,Chicago,318,0.00
3.8.89.242,2083,80,false,ORD,North America,Chicago,253,0.00
3.8.89.242,8880,80,false,ORD,North America,Chicago,251,0.00
3.8.89.242,2052,80,false,ORD,North America,Chicago,245,0.00
3.8.89.242,80,80,false,ORD,North America,Chicago,251,0.00
3.8.89.242,2096,80,false,ORD,North America,Chicago,252,0.00
3.8.89.242,8443,80,false,ORD,North America,Chicago,318,0.00
52.76.182.63,2095,80,false,SIN,Asia Pacific,Singapore,1,0.00
52.76.182.63,2096,80,false,SIN,Asia Pacific,Singapore,3,0.00
52.76.182.63,2087,80,false,SIN,Asia Pacific,Singapore,3,0.00
52.76.182.63,2082,80,false,SIN,Asia Pacific,Singapore,6,0.00
52.76.182.63,2052,80,false,SIN,Asia Pacific,Singapore,9,0.00
52.76.182.63,2083,80,false,SIN,Asia Pacific,Singapore,10,0.00
